PLAN TYPE,PLAN NO,PLAN YEAR,CALENDAR YEAR,Plan,DESCRIPITION OF PLAN,# OF SHEETS,Project on File,LINK TO ELECTRONIC FILES
S,47,2000,2002,S-47-2000,TRIPLE CRK @ VALLEY STREAM PH 13 - LOT LAYOUT; P&P,5,X,S-47-2000
S,47,2001,2001,S-47-2001,LISBON WOODS - LAYOUT; UTE; STRM; ERO; P&P,13,X,S-47-2001
S,47,2003,2003,S-47-2003,BROOK FOREST TOWNES PHASE 2 - LS;STE;EX;LYT;GR;DR;SS;ERO;P&P,18,X,S-47-2003
S,47,2005,2005,S-47-2005,CLARIDGE SUBDIVISION,13,X,S-47-2005
S,47,2005,2005,S-47-2005,CLARIDGE SUBDIVISION - REVISED,15,X,S-47-2005
S,47,2006,2006,S-47-2006,MASSEY PRESERVE SOUTH,23,X,S-47-2006
S,47,2007,2007,S-47-2007,SAN. SEWER EXTENSION FOR JEAN W. & JOHN B. NEESE 613 NEW RD,3,X,S-47-2007
S,47,1986,8-Jan,S-47-1986,SUBD. FONVILLE MORISEY REALTORS- FORMER LOTS 12-17 ; L. I. GOODWIN SUBD.  ( M-800 ),1,X,S-47-1986
S,48,1987,Mar-87,S-48-1987,CHALFANT SUBDIVISION  ( L-800 ),1,X,S-48-1987
S,48,1989,Feb-89,S-48-1989,CLANDON FOREST ; PHASE'S 1 & 2        ( M-871 ; M-904 ),2,X,S-48-1989
S,48,1991,Jun-91,S-48-1991,PROPERTY OF CSX TRANSPORTATION INC. ; PHASE 1    (Q-1330 ),1,X,S-48-1991
S,48,1993,Sep-93,S-48-1993,BROOKDALE SUBDIVISION ; ( L-1278-A ; L-1278-B ),2,X,S-48-1993
S,48,1994,May-94,S-48-1994,HARPS MILL WOODS SUBDIVISION ; PHASE'S 1 - 4    (Q-1554; Q-1577 ; Q-1668; Q-1669),4,X,S-48-1994
S,48,1995,Mar-95,S-48-1995,CITY OF RALEIGH - GREENWAY DEDICATION,1,X,S-48-1995
S,48,1997,Oct-97,S-48-1997,GREYSTONE MANOR / EASEMENT PLAT ACROSS PROPERTY OF MARLOWE BUILDERS ;  INC.,3,X,S-48-1997
S,48,1998,Jun-97,S-48-1998,THE FALLS PH 2 - SITE; UTE; ERO; RD; P&P,12,X,S-48-1998
S,48,1998,1999,S-48-1998,THE FALLS PH 2 - SITE; RD; UTE; P&P,12,X,S-48-1998
S,48,1999,1999,S-48-1999,GOVERNORS PLACE - SITE; RD; UTE; P&P,9,X,S-48-1999
S,48,2000,2000,S-48-2000,HARINGTON BRANCH PINES PH 1&2 - UTE; DRN; ERO; P&P; DTLS,17,X,S-48-2000
S,48,2001,2001,S-48-2001,LAKE LYNN TOWNES - STE; DEMO; LAYOUT; GR; ERO; UTE; SWR P&P; LYNN RD WID; DTLS,14,X,S-48-2001
S,48,2004,2004,S-48-2004,THE CHARLESTON HOMES AT ALEXANDER PLACE PHASE 1-3,20,X,S-48-2004
S,48,2006,2006,S-48-2006,WHITAKER PARK PH 1,14,X,S-48-2006
S,48,2007,2007,S-48-2007,COOKE STREET SUBDIV - STORM DRAIN IMPROVEMENTS,2,X,S-48-2007
S,48,2008,2008,S-48-2008,ALEXANDER PLACE ; SANITARY SEWER CONST. DWG'S,2,X,S-48-2008
S,49,1976,1976,S-49-1976,PROPERTY OF TRAWICK COMMERCIAL CENTER ASSOC. ( S-800 ; S-866 ; S-867 ),3,X,S-49-1976
S,49,1986,6/8/1905,S-49-1986,NORTH BOULEVARD INDUSTRIAL CENTER,6,X,S-49-1986
S,49,1987,Aug-87,S-49-1987,PROPERTY OF CLIFFORD A. CLARK &JEAN C. CLARK   (N-145),1,X,S-49-1987
S,49,1988,Apr-88,S-49-1988,SIMMONS BRANCH CLUSTER UNIT DEVELOPMENT    (J-549 ; J-550),2,X,S-49-1988
S,49,1989,Feb-89,S-49-1989,CHASE COURT SUBDIVISION   ( K-749 ),1,X,S-49-1989
S,49,1992,1992,S-49-1992,PROPERTY OF GLORIA E. GLENN - 4320 TRYON ROAD  (Y-486),1,X,S-49-1992
S,49,1993,1993,S-49-1993,BOUNDARY SURVEY FOR BFD ASSOCIATES   (Q-1494),1,X,S-49-1993
S,49,1994,Jul-94,S-49-1994,HARDEN PLACE ; PHASE'S 1 & 2       (K-816 ; K-828 ),2,X,S-49-1994
S,49,1995,Jun-95,S-49-1995,SURVEY FOR GLADYS YOUNG SUBDIVISION - BETHEL RD.,1,X,S-49-1995
S,49,1997,1997,S-49-1997,HEDINGHAM ON THE NEUSE ; THORNBLADE AT ; PHASE 1,2,X,S-49-1997
S,49,1999,1999,S-49-1999,PARK @ PERRY CREEK PH 2 - STE & UTE; DR & ERO; P&P. SS O/F RDS,1,X,S-49-1999
S,49,1999,1999,S-49-1999,PARK @ PERRY CREEK PH 3 - STE; UTE; ERO & DR; P&P; RD,9,X,S-49-1999
S,49,1999,1999,S-49-1999,THE PARK @ PERRY CREEK PH 4 - STE; UTE; ERO; P&P,12,X,S-49-1999
S,49,2000,2000,S-49-2000,KNOWLES; DONALD & KAY - 3212 QUIET MILL RD APT 32 PRELIM PLANS,2,X,S-49-2000
S,49,2000,2000,S-49-2000,DONALD & KAY KNOWLES STORMWATER REVISION PLEM PLAN,2,X,S-49-2000
S,49,2002,2002,S-49-2002,ASHWORTH ESTATES SEWER O/F P&P,2,X,S-49-2002
S,49,2002,2002,S-49-2002,ASHWORTH ESTATES; PHASE 1,17,X,S-49-2002
S,49,2002,2002,S-49-2002,CAMDEN PAK & REC CENTER;   PH l; 2 & 3,25,X,S-49-2002
S,49,2002,2002,S-49-2002,ASHWORTH ESTATES   PH 2,17,X,S-49-2002
S,49,2002,2003,S-49-2002,ASHWORTH ESTATES; PHASE 3 - P&P;STRM;WTR;ERO,9,X,S-49-2002
S,49,2004,2004,S-49-2004,BRIER CREEK CONSTR. PLANS PARCEL H8,11,X,S-49-2004
S,49,1988,2004,S-49-1988,THE HORIZON AT SIX FORKS    ( M-843 ; M-844 ; M-867),3,X,S-49-1988
S,49,1989,1989,S-49-1989,WINDMERE SUBDIVISION ;  ( L-1000 ; L-10870,2,X,S-49-1989
S,50,1990,1990,S-50-1990,SURVEY OF 1500 LAKE DAM ROAD  (Y-466),1,X,S-50-1990
S,50,1991,1991,S-50-1991,THE PARK ON SANDERFORD ROAD    (V-459 ; V-493),2,X,S-50-1991
S,50,1992,1992,S-50-1992,SUBDIVISION PLAT FOR BENTON F. CLIFTON JR.   (P-900),1,X,S-50-1992
S,50,1993,1993,S-50-1993,THE FALLS CENTRE   ,1,X,S-50-1993
S,50,1995,1995,S-50-1995,SUMMIT PARK SUBDIVISION,1,X,S-50-1995
S,50,1997,1997,S-50-1997,FARMINGTON WOODS PH 5 & 6 - SITE; UTILITY; P&P,7,X,S-50-1997
S,50,1998,1998,S-50-1998,BENTLEY RIDGE TOWNHOMES PH 3 - SITE; UTIL; P&P; PAINT,16,X,S-50-1998
S,50,1998,1998,S-50-1998,BENTLEY RIDGE PH 3 TOWNHOMES - REVISION - RD; SITE; UTE; P&P; PAINT,16,X,S-50-1998
S,50,1998,1998,S-50-1998,BENTLEY RIDGE PH 3 TOWNS - SITE; UTE; RDS; SS; P&P,15,X,S-50-1998
S,50,2000,2000,S-50-2000,COUNTRY SUNSHINE DAYCARE - SITE; UTE; STRM; ERO; P&P; L/S; STR,8,X,S-50-2000
S,50,2001,2001,S-50-2001,DEVON OAKS @ WAKEFIELD - SUBD; UTE; STR; DR; RDS; P&P; ERO,14,X,S-50-2001
S,50,2002,2002,S-50-2002,PRANCE PROPERTY - P&P,2,X,S-50-2002
S,50,2003,2003,S-50-2003,TRIANGLE TOWN COMMONS-PH 2 MELVILLE DR-EXTN,8,X,S-50-2003
S,50,2005,2005,S-50-2005,UNDERWOOD FARMS SUBDIV PH 3,14,X,S-50-2005
S,50,2007,2007,S-50-2007,5401 NORTH - SAN SEWER OUTFALL 'A',5,X,S-50-2007
S,50,2007,2007,S-50-2007,5401 NORTH PHASE 2,5,X,S-50-2007
S,50,1987,1987,S-50-1987,PAVILION SHOPPING CENTER   (Q-1158 ; Q-1159),2,X,S-50-1987
S,50,1990,1990,S-50-1990,LOCKWOOD SUBDIVISION  (T-799),1,X,S-50-1990
S,51,1992,1992,S-51-1992,SURVEY FOR HURSHEL G. STRICKLAND  (T-827),1,X,S-51-1992
S,51,1993,1993,S-51-1993,LYNNDALE ESTATES    (M-947),1,X,S-51-1993
S,51,1994,1994,S-51-1994,PARADIGM HOMES INC. / LEIGH H. & CYNTHIA S. HAMMOND     (L-1325),1,X,S-51-1994
S,51,1996,1996,S-51-1996,RAVENS RIDGE CUD PH 2,8,X,S-51-1996
S,51,1996,1996,S-51-1996,RAVENS RIDGE PH 2 - SITE; LAKE WOODARD TOWNS S-51-96; S-21-97; S-49-98; P&P,10,X,S-51-1996
S,51,1997,1997,S-51-1997,PARK ROWE - SITE; UTILITY; ERO; P&P,7,X,S-51-1997
S,51,1997,1997,S-51-1997,PARK ROWE - REVISION - STRM WATER DISSIPATOR CHANNEL,7,X,S-51-1997
S,51,1998,1998,S-51-1998,INMAN PARK - SITE; ROAD; P&P; UTILITY,23,X,S-51-1998
S,51,1998,1999,S-51-1998,INMAN PARK OVERALL SITE PLAN - UTILITY; ROADS; ERO; P&P,22,X,S-51-1998
S,51,1998,1998,S-51-1998,INMAN PARK - SITE; UTE; RDS; P&P,22,X,S-51-1998
S,51,2004,2004,S-51-2004,AUGUSTA LANDINGS,20,X,S-51-2004
S,51,2005,2005,S-51-2005,MULBERRY PARK TOWNHOMES,20,X,S-51-2005
S,51,2005,2005,S-51-2005,MULBERRY PARK - REVISED PHASING PLAN ONLY,20,X,S-51-2005
S,51,2008,2008,S-51-2008,HILGOE & COBB SUBDIVISION SUBDIVISION CONST. PLANS;3818 LAUREL HILLS RD.,2,X,S-51-2008
S,51,1979,1979,S-51-1979,BROOKHAVEN SUBDIVISION ; SECTION 17 ; PART C      (L-8870,1,X,S-51-1979
S,51,1988,5-Jun,S-51-1988,TALL OAKS SUBDIVISION   (K-731),1,X,S-51-1988
S,52,1987,1990,S-52-1987,PROPERTY OF J. GRAYDEN DAVIS AND EULENE W. DAVIS   (T-775),1,X,S-52-1987
S,52,1991,1991,S-52-1991,TURNBERRY SUBDIVISION ; SECTION 5,3,X,S-52-1991
S,52,1996,1996,S-52-1996,TRYON INDUSTRIAL PARK PH 3 - P&P,2,X,S-52-1996
S,52,1996,1996,S-52-1996,TRYON INDUSTRIAL PARK PH 3,3,X,S-52-1996
S,52,1998,1998,S-52-1998,PADDINGTON SQUARE - LOT 3,1,X,S-52-1998
S,52,1999,1999,S-52-1999,CELEBRATION SQUARE - SITE; UTE; P&P,11,X,S-52-1999
S,52,2000,2000,S-52-2000,PINEHALL PLANTATION PH 5&6 - STE; UTE; ERO; RDS; SS O/F; STRM; P&P,6,X,S-52-2000
S,52,2000,2000,S-52-2000,PINEHALL PLANTATION - NEUSE; PRO C&G,19,X,S-52-2000
S,52,2001,2001,S-52-2001,ATLANTIC AVE WAREHOUSE  SAN. SEWER EXT.,6,X,S-52-2001
S,52,2002,2000,S-52-2002,BRIGHTON SUBD. PH 7            STE;UTE;STR;GR;ERO;P&P,3,X,S-52-2002
S,52,2002,2003,S-52-2002,BRIGHTON SUBD  PH 7-8   STE;UTE;STR;GR ERO;P&P,3,X,S-52-2002
S,52,2003,2003,S-52-2003,MORNING STAR - BOYLAN HEIGHTS - SANITARY SEWER RELOCATION; P&P,1,X,S-52-2003
S,52,2005,2005,S-52-2005,ESTATES OF BROOKHAVEN,10,X,S-52-2005
S,52,2006,2006,S-52-2006,FINLEY CREST ROADWAY AND UTILITY IMPROVEMENTS,12,X,S-52-2006
S,52,2007,2007,S-52-2007,ACC BLVD,10,X,S-52-2007
S,52,1987,1987,S-52-1987,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY    (M-847),1,X,S-52-1987
S,52,1989,1988,S-52-1989,POE PROPERTIES SUBDIVISION     ( T-737 ; T-772 ; T-812 ),3,X,S-52-1989
S,53,1989,Feb-89,S-53-1989,THE MEADOWS AT EAGLE CHASE    (T-770),1,X,S-53-1989
S,53,1990,1990,S-53-1990,SUBDIVISION PLAT OF PROPERTY OF THOMAS L. BAILEY  (Q-1281),1,X,S-53-1990
S,53,1991,1991,S-53-1991,NEW SHOP PROJECT ; PLOT PLAN - DETAILS ; 6028 TRIANGLE DRIVE,1,X,S-53-1991
S,53,1993,1993,S-53-1993,QUAIL POINTE SUBDIVISION   (Q-1453),1,X,S-53-1993
S,53,1995,1995,S-53-1995,KAPLAN RIDGE TOWNHOMES ; PHASE 1 & 2,1,X,S-53-1995
S,53,1997,1997,S-53-1997,SOMERSETT III,1,X,S-53-1997
S,53,1998,1998,S-53-1998,T W ALEXANDER DR WATER EXT,1,X,S-53-1998
S,53,1998,1998,S-53-1998,"BRIER CREEK SEWER OUTFALL ""A"" - TOPO; UTIL; P&P",3,X,S-53-1998
S,53,1998,1998,S-53-1998,BRIER CREEK PARCEL G - P&P; ERO,106,X,S-53-1998
S,53,1998,1998,S-53-1998,"BRIER CREEK SAN SWR OUTFALL ""B"" PH 1 P&P",11,X,S-53-1998
S,53,1998,1998,S-53-1998,BRIER CREEK AVIATION BLVD WATER EXT P&P,9,X,S-53-1998
S,53,1998,1998,S-53-1998,BRIER CREEK PARCEL J - STE PLAN; P&P; DTLS,7,X,S-53-1998
S,53,1998,1998,S-53-1998,BRIER CREEK PKWY PH 2 - WATER MAIN EXTENSION P&P,11,X,S-53-1998
S,53,1998,2001,S-53-1998,"BRIER CREEK SEWER OUTFALL ""C"" & PUMP STATION - P&P",16,X,S-53-1998
S,53,1998,1998,S-53-1998,BRIER CREEK US HWY 70 WATER EXTENSION - P&P,6,X,S-53-1998
S,53,1998,1998,S-53-1998,BRIER CREEK PARCEL J - SITE; SS; P&P,17,X,S-53-1998
S,53,1998,1999,S-53-1998,BRIER CREEK PARCEL J - STE PLAN; PROP SS; CONSTR DTLS,10,X,S-53-1998
S,53,1998,1999,S-53-1998,BRIER CREEK PARKWAY - COMPLETE SET,9,X,S-53-1998
S,53,1998,1998,S-53-1998,BRIER CREEK SAN SWR O/F U&V,7,X,S-53-1998
S,53,1999,1999,S-53-1998,"BRIER CREEK SAN SWR OUTFALL ""A"" PH 2 - SITE; P&P",92,X,S-53-1998
S,53,1998,2002,S-53-1998,BRIER CREEK - BRIER CREEK PKWY TURN LANE REVISIONS,5,X,S-53-1998
S,53,2001,2012,S-53-2001,EDGEWOOD SUBD PH 2 @ WAKEFIELD - ROADS P&P; SUBD; LAYOUT; UTE; STR; GR; ERO,11,X,S-53-2001
S,53,2003,2003,S-53-2003,PINE KNOLL TOWNHOMES - STE;GRA;DRA;SED;ERO;PLANT;BLDG;ROAD;P&P;UTE;WTR;SWR,20,X,S-53-2003
S,53,2004,2005,S-53-2004,SILVERDEER SELF STORAGE,2,X,S-53-2004
S,53,2005,2005,S-53-2005,LAUREL MANOR SUBDIVISION,6,X,S-53-2005
S,53,2005,2005,S-53-2005,LAUREL MANOR SUBDIVISION - REV.,3,X,S-53-2005
S,53,2006,2006,S-53-2006,WADE - PUBLIC ROADWAY IMPROVEMENTS - EDWARDS MILL ROAD,24,X,S-53-2006
S,53,2006,2006,S-53-2006,WADE - PUBLIC ROADWAY IMPROVEMENTS - TRINITY ROAD,14,X,S-53-2006
S,53,2006,2006,S-53-2006,WADE (ROADWAY CONSTR) PH I,15,X,S-53-2006
S,53,2006,2006,S-53-2006,WADE (ROADWAY CONSTR) PH 2 - WAKE PARK BLVD,22,X,S-53-2006
S,53,2006,2006,S-53-2006,WADE OFFICE PARK; PH A - UTILITIES ONLY,6,X,S-53-2006
S,53,2006,2006,S-53-2006,"WADE - BRIDGE CONSTR; SUPPLEMENTAL DRWGS TO ROADWAY CONSTRU PH 2 WAKE PARK BLVD - ""REVISIONS""",37,X,S-53-2006
S,53,2006,2006,S-53-2006,WADE BRIDGE CONSTR RDWY; PH 2 WADE PK,22,X,S-53-2006
S,53,2006,6-Aug,S-53-2006,WADE (ROADWAY CONSTR) PH I - REVISED PAVEMENT MARKINGS,24,X,S-53-2006
S,53,1978,1978,S-53-1978,PYLON COMMERCIAL PARK   (J-606),1,X,S-53-1978
S,53,1982,1982,S-53-1982,PROPERTY OF ROBERT T. HEDRICK    (Q-1105),1,X,S-53-1982
S,54,1985,1985,S-54-1985,LYNN RIDGE TOWNHOMES ; LOT 102   (M-801 ; M-1011 ),2,X,S-54-1985
S,54,1986,1986,S-54-1986,TURNBERRY SUBDIVISION ; SECTION 2,2,X,S-54-1986
S,54,1989,1989,S-54-1989,SURVEY FOR CSX TRANSPORTATION INC.  (Q-1227),1,X,S-54-1989
S,54,1992,1992,S-54-1992,STONEHENGE 18       (L-1259),1,X,S-54-1992
S,54,1993,1993,S-54-1993,LAKE BOONE CENTER ; LOTS 1 & 2      (K-802),1,X,S-54-1993
S,54,1994,Aug-94,S-54-1994,SUBDIVISION OF LOT 1; CSX TRANSPORTATION ; 3548 BUSH ST. (Q-1478),1,X,S-54-1994
S,54,1998,1998,S-54-1998,NOWELL RD.IMPROVEMENTS; RALEIGH CORPORATE CENTER ; TRACT-D,2,X,S-54-1998
S,54,2000,2000,S-54-2000,EAGLECHASE TOWNHOMES,8,X,S-54-2000
S,54,2004,5-Jun,S-54-2004,CROSSTOWNE SUBDIV; PH 1 2 & 3  (FORMERLY UNDERWOOD SUBDIV),30,X,S-54-2004
S,54,2004,5-Jun,S-54-2004,CROSSTOWNE SUBDIV; PH 1 2 & 3 - REVISIONS  (FORMERLY UNDERWOOD SUBDIV),30,X,S-54-2004
S,54,2004,2004,S-54-2004,CROSSTOWNE SUBDIV; PH 1 2 & 3 - CONSTR DRAWINGS - REVISION FOR LOTS,34,X,S-54-2004
S,54,2005,2005,S-54-2005,GLENWOOD STATION WEST WINCHESTER DR. ROADWAY,13,X,S-54-2005
S,55,1986,1986,S-55-1986,R/W  MAP - PACES AVE. - LOT 56 WESTLAKE VILLAGE     (L-776),1,X,S-55-1986
S,55,1990,8-Oct,S-55-1990,TRAILWOOD SPRINGS SUBDIVISION ; PHASE'S 3;4 & 6     (Y-477 ; Y-493 ; Y-516),3,X,S-55-1990
S,55,1992,1992,S-55-1992,PROPERTY OF FIRST CITIZENS BANK & TRUST-ESTATE EXECUTORS OF CORNEILIA TROUTMAN (L-1153),1,X,S-55-1992
S,55,1994,1994,S-55-1994,RECOMBINATION SURVEY FOR ELIZABETH JACKSON    (Q-1455),1,X,S-55-1994
S,55,1995,1995,S-55-1995,EVANS MILL PH 2,3,X,S-55-1995
S,55,1997,1997,S-55-1997,PADDEN PLACE TOWNHOMES - BUCK JONES WIDENING - P&P,2,X,S-55-1997
S,55,1997,1997,S-55-1997,PADDEN PLACE TOWNHOMES - LOTS & ADD - BM1998-42,2,X,S-55-1997
S,55,2001,2001,S-55-2001,CLUB VILLAS PH 2; 3 & 4 @ WAKEFIELD,10,X,S-55-2001
S,55,2002,2002,S-55-2002,PERRY CREEK OFFICE PARK - SUBD; UTE; GR; STRM; P&P,10,X,S-55-2002
S,55,2004,2004,S-55-2004,DUNN ROAD SEWER EXTENSION,2,X,S-55-2004
S,55,1979,1979,S-55-1979,SAN. SEWER EASEMENT & R4ECOMBINATION MAP FOR MARCHE NOIR ; INC.  (Q-1074),1,X,S-55-1979
S,56,1985,1985,S-56-1985,RIVERKNOLL C.U.D. ; PHASE 2 ; PART A      ( T-604 ; T-605 ),3,X,S-56-1985
S,56,1986,Jul-86,S-56-1986,ATHENS DRIVE TOWN HOMES II       (J-517 ),1,X,S-56-1986
S,56,1988,1988,S-56-1988,OLDE RALEIGH SUBDIVISION ; PHASE 4 ;  LOT A ; D; & E     (K-746 ; K-751),2,X,S-56-1988
S,56,1990,1990,S-56-1990,ADDITIONS TO GLEN LAUREL SUBDIVISION    (L-1108),1,X,S-56-1990
S,56,1991,1991,S-56-1991,VARDAMAN GARDENS SUB'D.- PROPERTY OF JOHN W. WINTERS & CO.   ( V-502),1,X,S-56-1991
S,56,1992,1992,S-56-1992,STONEHENGE ON THE PARK / CITY OF RALEIGH SAN. SEW. EASE'MT.   (L-1169 ; L-1187 ),2,X,S-56-1992
S,56,1993,1993,S-56-1993,RECOMB. AND SUB'D. FOR PROPERTY OF HERMAN C. WALL   ( V-464 ),1,X,S-56-1993
S,56,1994,1994,S-56-1994,PROPERTY OF OLIVIA S. ROOT  / DEKOVEN PLACE   (P-979 ),2,X,S-56-1994
S,56,1996,1996,S-56-1996,THE VILLAGE CENTER AT HARRINGTON GROVE,1,X,S-56-1996
S,56,1997,1997,S-56-1997,DIVISION OF LANDS OF M.R. BARKER PROP. 3026 SOUTHALL RD./ J.H.SOUTHALL HEIRS,2,X,S-56-1997
S,56,1998,1998,S-56-1998,BAILEY'S LANDING SUBD PH 1 - SITE; UTIL; RDS; LOTS; P&P,10,X,S-56-1998
S,56,1999,1999,S-56-1999,WAKEFIELD SAV VILLAGE PH 1 & 2 - SITE; UTE; STRM; RDS; P&P,12,X,S-56-1999
S,56,2002,2002,S-56-2002,BRIAR STREAM RUN  PR;SUB;ERO;UTE;P&P,5,X,S-56-2002
S,56,2003,2003,S-56-2003,LEESVILLE HOLLOW SUBDIVISION - ROAD;UTE.ERO;GRA;DRA,16,X,S-56-2003
S,56,2003,2003,S-56-2003,LEESVILLE HOLLOW SUBDIVISION CONSTR. PLANS (ROADWAY & UTILITY REVISIONS),10,X,S-56-2003
S,56,2003,2003,S-56-2003,LEESVILLE HOLLOW - REVISIONS,10,X,S-56-2003
S,56,2004,2004,S-56-2004,WESTGATE BUSINESS PARK PHASE 3 PUBLIC IMPROVEMENTS,8,X,S-56-2004
S,56,2006,2006,S-56-2006,EDWARDS MILL ROAD SUBDIVISION,9,X,S-56-2006
S,56,2008,2008,S-56-2008,ST.FRANCIS OF ASSISI CATHOLIC CHURCH ; PHASE V,23,X,S-56-2008
S,56,1978,1978,S-56-1978,ROWLAND INDUSTRIAL PARK ; LOTS 9 - 12  (Q-1048 ; Q-1147 ; Q-1246 ),3,X,S-56-1978
S,56,1986,Apr-86,S-56-1986,STERLING TOWNHOMES PHASE'S 1 & 2   (Y-392 ; Y-426 ; Y-544 ),3,X,S-56-1986
S,57,1988,Aug-88,S-57-1988,ARBORETUM ; PHASE 1 (L-956 ) / WAKE COUNTY SHRINE CLUB ( L-957 ),2,X,S-57-1988
S,57,1989,Mar-89,S-57-1989,BERKSHIRE DOWNS WEST ; PHASE 8 (S-1002),1,X,S-57-1989
S,57,1991,Mar-91,S-57-1991,BROOKHAVEN SUBDIVISION ; SECTION 1 & 2 ( L-1146 ; L-1147 ),2,X,S-57-1991
S,57,1993,May-93,S-57-1993,REMINGTON PARK ;  PHASE 1   (S-1172 ),1,X,S-57-1993
S,57,1994,1994,S-57-1994,PERRY CREEK SUBDIVISION   ( S-1252 ),1,X,S-57-1994
S,57,1996,May-96,S-57-1996,40 EAST BUSINESS PARK,1,X,S-57-1996
S,57,1998,Apr-98,S-57-1998,VILLAGE OF BEACON HILL PH 5 - SITE; ROADS; P&P,6,X,S-57-1998
S,57,1998,1998,S-57-1998,VILLAGE OF BEACON HILL PH 5 - REVISION - SITE; UTIL; P&P,4,X,S-57-1998
S,57,1999,1999,S-57-1999,LAUREL WOODS - SS; STE; RDS; UTE; ERO; P&P,17,X,S-57-1999
S,57,2000,2000,S-57-2000,ABBINGTON RIDGE SUBD PH 1 - STE; UTE; STRM; ERO; P&P; RDS,18,X,S-57-2000
S,57,2000,2000,S-57-2000,ABBINGTON RIDGE PH 2 & 3 - STE; DR; UTE; STRM; ERO; P&P; SS O/F P&P,19,X,S-57-2000
S,57,2001,2001,S-57-2001,BRIER CREEK PH 13 & 14 LAND BAY W-1 - STE; ERO; GR; DR; UTE; P&P; OF,22,X,S-57-2001
S,57,2004,2004,S-57-2004,WEBB ALLEN ROAD SUBDIVISION (& NEW BERN AVE),13,X,S-57-2004
S,57,2005,2005,S-57-2005,BELLEVUE TERRACE (LOT 168),6,X,S-57-2005
S,57,2006,2006,S-57-2006,SANDY FORKS COMMONS,9,X,S-57-2006
S,57,1979,1979,S-57-1979,PLEASANT HILL SUBDIVISION  ( L-854 ),1,X,S-57-1979
S,57,1986,Aug-86,S-57-1986,SHORT LEAF SUBDIVISION / WHITE OAK RD.  ( M-778 ),1,X,S-57-1986
S,58,1988,Sep-88,S-58-1988,WESTBOROUGH CENTER ; LOTS 19 - 23    (L-1047 ),1,X,S-58-1988
S,58,1989,1989,S-58-1989,HARRINGTON GROVE - THE GLEN ; SECTION 1 ;TRACT D-2   (L-1010 ),1,X,S-58-1989
S,58,1992,1992,S-58-1992,THE LANDINGS AT NORTH RIDGE ; PHASE 4 ; 4B;4C -LOTS 57-65 ( Q-1372 ; Q-1539 ; Q-1594 ; Q-1645 ),4,X,S-58-1992
S,58,1994,1992,S-58-1994,THE GARDENS OF ALYSON POND ;  PHASE   ( Q-1578 ),1,X,S-58-1994
S,58,1995,Oct-95,S-58-1995,NOWELL POINTE SUBD,14,X,S-58-1995
S,58,1996,1996,S-58-1996,KINGS CREST PH 2,5,X,S-58-1996
S,58,1997,1997,S-58-1997,NORTH RIDGE PARK SUBD - SS EXTN,2,X,S-58-1997
S,58,2001,2001,S-58-2001,CORNERSTONE PK LOT 7 REVISED - STE; UTE; DR; ERO; P&P,10,X,S-58-2001
S,58,2002,2002,S-58-2002,ROGERS FARM   EX C;STE;UTE;SS; P&P;GR DR ERO P&P,44,X,S-58-2002
S,58,2002,2003,S-58-2002,ROGERS FARM - GRADING & DRAINAGE REVISION ONLY,1,X,S-58-2002
S,58,2003,2004,S-58-2003,EXTRA ATTIC SELF STORAGE    STE;GR;DR;ERO;RDS;P&P;UTE,6,X,S-58-2003
S,58,2005,2005,S-58-2005,WAKEFIELD PARK TRACT 201 - SEWERMAIN EXTENSION,3,X,S-58-2005
S,58,2006,2006,S-58-2006,TUPPER PLACE PH 1 & 2 - SHAW DEVLOP PROPERTY - SITE; UTE; ERO; RDS; P&P,1,X,S-58-2006
S,59,1983,1983,S-59-1983,CROSSWINDS SUBDIVISION ; SECTION 6  ( M-797 ),1,X,S-59-1983
S,59,1984,1984,S-59-1984,NORTHWAY OFFICE CENTER ; LOT 4     ( M-798 ),1,X,S-59-1984
S,59,1988,1988,S-59-1988,BRYAN WOODS SUBDIVISION   ( J-557 ),1,X,S-59-1988
S,59,1991,Jun-91,S-59-1991,WAL-MART STORES ; INC.    ( W-267 ),1,X,S-59-1991
S,59,1992,Jun-92,S-59-1992,CVM ASSOCIATES ; LIMITED PARTNERSHIP / CRABTREE VALLEY MALL   ( L-1439 ),1,X,S-59-1992
S,59,1993,Jun-93,S-59-1993,NORTH PARK ; PHASE'S 1 & 2     ( M-983-A ; M-983-B ; M-1004 ),3,X,S-59-1993
S,59,1995,Aug-95,S-59-1995,SUBDIVISION OF WALTER BASS PROPERTY ,1,X,S-59-1995
S,59,1996,Aug-96,S-59-1996,VILLAGE LAKES SUBDIVISION ; PHASE'S 9 & 10,2,X,S-59-1996
S,59,1998,Mar-98,S-59-1998,FORESTVILLE FARMS PH 8 - SITE; UTILITY; ROADS; P&P,13,X,S-59-1998
S,59,1998,1998,S-59-1998,FORESTVILLE FARMS PH 8 - SITE; UT; RDS; ERO ,13,X,S-59-1998
S,59,1999,1999,S-59-1999,HEDINGHAM BLACKWOLF RUN SEC 2 - PH 6&6,5,X,S-59-1999
S,59,1999,1999,S-59-1999,HEDINGHAM ON THE NEUSE PH 8 - UTE; ERO; P&P,5,X,S-59-1999
S,59,2002,2002,S-59-2002,IDLEWOOD SUBD   OVERALL STE;UTE; SRM;ERO;P&P SS;O/F; P&P,15,X,S-59-2002
